text,gra
alright . 2759_3079,	1|0|INCROOT 2|1|PUNCT
&-um a [/] &+d a specific event or &-uh +..? 23850_27440,	1|3|DET 2|3|MOD 3|0|INCROOT 4|3|CONJ 5|3|PUNCT
&*INV,	1|2|SUBJ 2|0|ROOT 3|5|DET 4|5|MOD 5|2|OBJ 6|5|NJCT 7|8|DATE
&-um and that was &-uh a once in a lifetime kind of experience . 50835_55085,	1|3|LINK 2|3|SUBJ 3|0|ROOT 4|5|DET 5|3|PRED 6|5|JCT 7|9|DET 8|9|MOD
I &-uh was with &-um initially five other people . 55930_59460,	1|2|SUBJ 2|0|ROOT 3|2|JCT 4|5|JCT 5|7|QUANT 6|7|QUANT 7|3|POBJ
&-uh two of them dropped out partway through the trip . 59611_62241,	1|4|SUBJ 2|1|JCT 3|2|POBJ 4|0|ROOT 5|4|JCT 6|4|JCT 7|4|JCT 8|9|DET
&-um (be)cause they [/] &-uh they didn't consider it safe . 63886_65896,	1|5|LINK 2|5|SUBJ 3|5|AUX 4|3|NEG 5|0|ROOT 6|5|OBJ 7|5|JCT
but <it was> [/] &-uh it was a fascinating &-uh trip &-um to see,	1|6|LINK 2|6|SUBJ 3|6|AUX 4|6|DET 5|6|MOD 6|0|INCROOT 7|10|INF
and we paddled in one case &-uh past &-uh two days of &-uh forest,	1|3|LINK 2|3|SUBJ 3|0|ROOT 4|3|JCT 5|7|QUANT 6|7|MOD 7|4|POBJ
<and the smoke> [//] we hadta put cloths over our mouths to [/] to,	1|4|SUBJ 2|4|AUX 3|4|INF 4|0|ROOT 5|4|OBJ 6|4|JCT 7|8|DET 8|6|POBJ
&-uh the [/] the paddling itself was not particularly onerous,	1|2|DET 2|4|LINK 3|4|SUBJ 4|0|ROOT 5|4|NEG 6|7|JCT 7|4|PRED
but we did paddle a_lot . 93585_94695,	1|4|LINK 2|4|SUBJ 3|4|AUX 4|0|ROOT 5|4|JCT 6|4|PUNCT
we paddled &-uh nine or ten hours a day &*INV,	1|2|SUBJ 2|0|ROOT 3|6|QUANT 4|3|CONJ 5|4|COORD 6|2|OBJ 7|8|DET
we [/] we averaged about seventy two kilometers a day on [/] on [/],	1|2|SUBJ 2|0|ROOT 3|2|JCT 4|6|QUANT 5|6|QUANT 6|3|POBJ 7|8|DET
&-um covered almost &-uh fourteen hundred kilometers on the whole,	1|0|ROOT 2|3|JCT 3|5|QUANT 4|5|QUANT 5|1|OBJ 6|1|JCT 7|9|DET
&-um and it [//] &+w surprisingly enough although we were on a,	1|3|LINK 2|3|JCT 3|0|INCROOT 4|22|LINK 5|22|SUBJ 6|22|AUX 7|6|JCT
you can't see a half inch into the water . 121296_123176,	1|4|SUBJ 2|4|AUX 3|2|NEG 4|0|ROOT 5|7|DET 6|7|MOD 7|4|OBJ 8|4|JCT
so ‡ we hadta find side streams that were clear in_order_to get,	1|0|BEG 2|1|BEGP 3|6|SUBJ 4|6|AUX 5|6|INF 6|0|ROOT 7|8|MOD 8|6|OBJ
it was . 130854_131384,	1|2|SUBJ 2|0|ROOT 3|2|PUNCT
&-uh typical day I [/] I get up fairly early in the morning about,	1|2|MOD 2|4|JCT 3|4|SUBJ 4|0|ROOT 5|4|JCT 6|7|JCT 7|4|JCT 8|4|JCT
&-um I either go into the office &-um to [/] to work there . 147921_151941,	1|0|INCROOT 2|1|CONJ 3|2|COORD 4|3|JCT 5|6|DET 6|4|POBJ 7|3|JCT
or I work from home by dialing in <on my> [/] &-uh on my computer .,	1|3|LINK 2|3|SUBJ 3|0|ROOT 4|3|JCT 5|4|POBJ 6|7|JCT 7|3|XJCT
&-um I work on &-uh designing a database or solving problems around,	1|2|SUBJ 2|0|ROOT 3|2|JCT 4|2|XJCT 5|6|DET 6|4|OBJ 7|4|CONJ
&-um and I work right through until five or six o'clock depending,	1|3|LINK 2|3|SUBJ 3|0|ROOT 4|5|JCT 5|3|JCT 6|5|POBJ 7|10|QUANT
&-um I take a break for lunch . 171527_173017,	1|2|SUBJ 2|0|ROOT 3|4|DET 4|2|OBJ 5|2|JCT 6|5|POBJ 7|2|PUNCT
&-um and that's &-uh pretty_much my workday . 173741_177221,	1|3|LINK 2|3|SUBJ 3|0|ROOT 4|3|JCT 5|6|DET 6|4|POBJ 7|3|PUNCT
&-uh I come home or &+a am at home and &-uh have supper with my,	1|2|SUBJ 2|0|ROOT 3|2|JCT 4|2|CONJ 5|4|COORD 6|5|JCT 7|6|POBJ
"&-uh sometimes just watching &-uh television , sometimes going out",	1|3|JCT 2|3|JCT 3|0|ROOT 4|3|OBJ 5|3|LP 6|3|JCT 7|6|XMOD 8|7|JCT
&-um sometimes &-uh I [//] going out to [/] &-uh to the lodge,	1|7|LINK 2|7|XJCT 3|2|JCT 4|2|JCT 5|6|DET 6|4|POBJ 7|0|ROOT
okay . [+ exc] 209312_209542,	1|0|INCROOT 2|1|PUNCT
okay ‡ the [/] &+st the story is a boy was playing soccer . 218104_220854,	1|0|BEG 2|1|BEGP 3|4|DET 4|5|SUBJ 5|0|ROOT 6|7|DET 7|9|SUBJ 8|9|AUX
he kicked the soccer ball . 221148_222088,	1|2|SUBJ 2|0|ROOT 3|5|DET 4|5|MOD 5|2|OBJ 6|2|PUNCT
and it went through the &-uh window of a house and broke the window,	1|3|LINK 2|3|SUBJ 3|0|ROOT 4|3|JCT 5|6|DET 6|4|POBJ 7|6|NJCT
and the man was sitting in the chair next_to the lamp . 230557_232387,	1|5|LINK 2|3|DET 3|5|SUBJ 4|5|AUX 5|0|ROOT 6|5|JCT 7|8|DET 8|6|POBJ
and he picked up the &+s soccer ball and looked out the window to,	1|3|LINK 2|3|SUBJ 3|0|ROOT 4|3|JCT 5|7|DET 6|7|MOD 7|4|POBJ
&-uh &-uh &-uh a woman was giving her child &-uh an umbrella . 243570_247470,	1|2|DET 2|4|SUBJ 3|4|AUX 4|0|ROOT 5|6|DET 6|4|OBJ 7|8|DET 8|6|OBJ
<the child was> [//] it was saying they didn't need the umbrella,	1|3|SUBJ 2|3|AUX 3|7|LINK 4|7|SUBJ 5|7|AUX 6|5|NEG 7|0|ROOT 8|9|DET
and it began to rain . 253166_254176,	1|3|LINK 2|3|SUBJ 3|0|ROOT 4|5|INF 5|3|COMP 6|3|PUNCT
and the child ran home and was all wet . 254618_257308,	1|4|LINK 2|3|DET 3|4|SUBJ 4|0|ROOT 5|4|JCT 6|4|CONJ 7|6|COORD
and mother was angry at him <for not> [//] for getting wet . 257752_261202,	1|3|LINK 2|3|SUBJ 3|0|ROOT 4|3|PRED 5|4|JCT 6|5|POBJ 7|3|JCT
and he went back outside after he'd &-uh got dry clothes and with,	1|3|LINK 2|3|SUBJ 3|0|ROOT 4|3|JCT 5|3|JCT 6|3|JCT 7|9|SUBJ 8|9|AUX
ah . [+ exc] 274180_274580,	1|0|INCROOT 2|1|PUNCT
cat went up in a tree . 275169_276209,	1|2|SUBJ 2|0|ROOT 3|2|JCT 4|2|JCT 5|6|DET 6|4|POBJ 7|2|PUNCT
and a man went up to &-uh retrieve the cat &+fr using a ladder . 277150_281130,	1|4|LINK 2|3|DET 3|4|SUBJ 4|0|ROOT 5|4|JCT 6|7|INF 7|4|XJCT 8|9|DET
the ladder has fallen down . 281430_282800,	1|2|DET 2|4|SUBJ 3|4|AUX 4|0|ROOT 5|4|JCT 6|4|PUNCT
&-uh <and the> [//] &-uh &-uh so ‡ the man had trouble getting out,	1|0|BEG 2|1|BEGP 3|4|DET 4|5|SUBJ 5|0|ROOT 6|5|OBJ 7|6|XMOD 8|7|JCT
&-uh the dog was barking up the tree for no particular reason that,	1|2|DET 2|4|SUBJ 3|4|AUX 4|0|ROOT 5|4|JCT 6|7|DET 7|5|POBJ 8|4|JCT
and the firemen had been called to rescue now both the cat and the,	1|6|LINK 2|3|DET 3|6|SUBJ 4|6|AUX 5|6|AUX 6|0|ROOT 7|6|JCT 8|7|POBJ
my granddaughter would never forgive me if I didn't &-um +... 316917_319807,	1|2|DET 2|5|SUBJ 3|5|AUX 4|5|SUBJ 5|0|ROOT 6|5|OBJ 7|11|LINK
yeah . 322706_322896,	1|0|INCROOT 2|1|PUNCT
okay . 327744_328064,	1|0|INCROOT 2|1|PUNCT
okay . 338555_338895,	1|0|INCROOT 2|1|PUNCT
&-uh Cinderella &-uh lived with her aunt . 344660_349360,	1|2|SUBJ 2|0|ROOT 3|2|JCT 4|5|DET 5|3|POBJ 6|2|PUNCT
&-uh her [/] her [/] her &-um +... 349623_351493,	1|0|INCROOT 2|1|PUNCT
<so aunt> [//] but she had &-um three stepsisters . 353145_356195,	1|3|LINK 2|3|SUBJ 3|0|ROOT 4|5|QUANT 5|3|OBJ 6|3|PUNCT
and they always gave her the dirty jobs to do around the house . 356547_359887,	1|4|LINK 2|4|SUBJ 3|4|JCT 4|0|ROOT 5|4|OBJ2 6|8|DET 7|8|MOD 8|4|OBJ
and &-um &-uh then she met &-um &-uh &+g a good fairy who &-um +...,	1|4|LINK 2|4|JCT 3|4|SUBJ 4|0|ROOT 5|7|DET 6|7|MOD 7|4|OBJ 8|7|OM
oh sorry . [+ exc] 374912_375402,	1|2|COM 2|0|INCROOT 3|2|PUNCT
they [//] <and these the these> [//] <the wicked> [//] <the [/] the,	1|3|DET 2|3|MOD 3|5|SUBJ 4|5|AUX 5|0|ROOT 6|5|JCT 7|8|DET 8|6|POBJ
and they &-um got &+ni dressed up to go . 384116_388786,	1|4|LINK 2|4|SUBJ 3|4|AUX 4|0|ROOT 5|4|JCT 6|7|INF 7|4|XJCT
and Cinderella was to stay at home and not go to the ball . 388975_392115,	1|3|LINK 2|3|SUBJ 3|0|ROOT 4|5|INF 5|3|CPRED 6|5|JCT 7|6|POBJ
the [/] &-uh the good fairy came and &-um <made her> [//] waved her,	1|3|DET 2|3|MOD 3|4|SUBJ 4|0|ROOT 5|4|CONJ 6|5|COORD 7|9|DET
and then she went to the ball where she &-uh captured the interest,	1|4|LINK 2|4|JCT 3|4|SUBJ 4|0|ROOT 5|4|JCT 6|7|DET 7|5|POBJ
and [//] but the problem was the [//] &-uh Cinderella hadta leave,	1|4|LINK 2|3|DET 3|4|SUBJ 4|0|ROOT 5|8|SUBJ 6|8|AUX 7|8|INF
"(be)cause the coach that she came in , which the good fairy had",	1|22|LINK 2|3|DET 3|22|SUBJ 4|6|LINK 5|6|SUBJ 6|3|CMOD 7|6|JCT
and &-uh Cinderella would be &-uh back <in her old> [/] &-uh in her,	1|4|LINK 2|4|SUBJ 3|4|AUX 4|0|ROOT 5|4|JCT 6|4|JCT 7|9|DET 8|9|MOD
so ‡ she ran out . 435770_436500,	1|0|BEG 2|1|BEGP 3|4|SUBJ 4|0|ROOT 5|4|JCT 6|4|PUNCT
but as she ran she lost one of the slippers [//] &-uh the [/] the,	1|4|LINK 2|4|JCT 3|4|SUBJ 4|6|CJCT 5|6|SUBJ 6|0|ROOT 7|6|OBJ
and then he went searching throughout his &-uh kingdom to try and,	1|4|LINK 2|4|JCT 3|4|SUBJ 4|0|ROOT 5|4|COMP 6|5|JCT 7|8|DET
and he came to the house <of the> [//] &-uh where [/] where,	1|3|LINK 2|3|SUBJ 3|0|ROOT 4|3|JCT 5|6|DET 6|4|POBJ 7|9|LINK
"and the stepsisters , their feet were too big and would not fit",	1|7|LINK 2|3|DET 3|7|SUBJ 4|3|LP 5|6|DET 6|7|SUBJ 7|0|ROOT 8|9|JCT
and Cinderella tried [//] &-uh &+w was allowed to try the shoe . 462360_466610,	1|4|LINK 2|4|SUBJ 3|4|AUX 4|0|ROOT 5|6|INF 6|4|COMP 7|8|DET 8|6|OBJ
and &-uh it fit . 467364_468804,	1|3|LINK 2|3|SUBJ 3|0|ROOT 4|3|PUNCT
and [/] &+theref and she went off to marry the prince and live,	1|3|LINK 2|3|SUBJ 3|0|ROOT 4|3|JCT 5|6|INF 6|3|XJCT 7|8|DET 8|6|OBJ
yeah . 484118_484328,	1|0|INCROOT 2|1|PUNCT
