text,Split_Clauses,Word_Counts,Max_Syntax_Tree_Depth,Word_Order,Verb_Phrases
well I could I could talk youknow,['well I could I could talk youknow'],[7],1,['SV'],[1]
remember,['remember'],[1],0,['V'],[1]
when it was like the end of August,['when it was like the end of August'],[8],4,['SV'],[0]
it was infact it was Labor Day,['it was infact it was Labor Day'],[7],3,['SV'],[0]
but I youknow I I when I was sick I didnt I I I was in intensive care when I go off with the,"['when I was sick I didnt', 'but I youknow I I when I was sick I didnt']","[7, 12]",3,"['SV', 'SVO']","[1, 1]"
like a,['like a'],[2],1,['V'],[0]
only four weeks on,['only four weeks on'],[4],2,['V'],[0]
but I I I I,"['but I I I I', 'I']","[5, 1]",1,"['V', 'V']","[0, 0]"
well and and and my family called and xxx and xxx,['well and and and my family called and xxx and xxx'],[11],2,['SV'],[1]
and then,['and then'],[2],1,['V'],[0]
they have a,['they have a'],[3],1,['SVO'],[1]
they shipped me out in an ambulance ten oclock at night,['they shipped me out in an ambulance ten oclock at night'],[11],3,['SVO'],[1]
and I and I and I couldnt w I I was in a wheelchair youknow,['and I and I and I couldnt w I I was in a wheelchair youknow'],[16],3,['SV'],[0]
and a stretcher,['and a stretcher'],[3],1,['V'],[0]
and I couldnt talk,['and I couldnt talk'],[5],1,['SV'],[1]
and then and then and then theres,['and then and then and then theres'],[8],2,['V'],[1]
my own daughter and my wife and my sister was there,['my own daughter and my wife and my sister was there'],[11],4,['SV'],[0]
and they didnt leave,['and they didnt leave'],[5],1,['SV'],[1]
and then I I fell asleep I think,['and then I I fell asleep I think'],[8],2,['SV'],[2]
and then hallofasudden,['and then hallofasudden'],[3],1,['V'],[1]
I was I was outof the Ranger game,['I was I was outof the Ranger game'],[8],3,['SV'],[0]
I have a,['I have a'],[3],1,['SVO'],[1]
and then and then I was in an ambulance,['and then and then I was in an ambulance'],[9],3,['SV'],[0]
and I I I couldnt talk but Id say,['and I I I couldnt talk but Id say'],[11],1,['VS'],[2]
where are you taking because it a it a long ride,['where are you taking because it a it a long ride'],[11],2,['SVO'],[1]
youknow I was in there,['youknow I was in there'],[5],2,['SV'],[0]
and I went to the hospital in n but I I didnt know where I was going,['and I went to the hospital in n but I I didnt know where I was going'],[18],3,['SV'],[3]
and he said,['and he said'],[3],1,['SV'],[1]
and I said,['and I said'],[3],1,['SV'],[1]
and then I I say,['and then I I say'],[5],2,['SV'],[1]
I dont even known what I was going,"['what I was going', 'I dont even known what I was going']","[4, 9]",2,"['OSV', 'SVO']","[1, 2]"
it was and then I couldnt talk,"['then I couldnt talk', 'it was and then I couldnt talk']","[5, 8]",2,"['SV', 'SV']","[1, 1]"
and I was det little sad,['and I was det little sad'],[6],2,['SV'],[0]
and I would,['and I would'],[3],1,['SV'],[0]
and the guy said,['and the guy said'],[4],2,['SV'],[1]
he said I said,"['he said I said', 'I said']","[4, 2]",2,"['SV', 'SV']","[1, 1]"
and hes,['and hes'],[3],1,['SV'],[1]
it was like forty five minutes,['it was like forty five minutes'],[6],3,['SV'],[0]
and I said,['and I said'],[3],1,['SV'],[1]
but I couldnt talk youknow,['but I couldnt talk youknow'],[6],1,['SV'],[1]
it was t,['it was t'],[3],1,['SV'],[0]
and they took me in and they a,['and they took me in and they a'],[8],1,['SVO'],[1]
I said,['I said'],[2],1,['SV'],[1]
it was a scary thing youknow,"['it was a scary thing youknow', 'youknow']","[6, 1]",2,"['SV', 'V']","[0, 1]"
but in the morning heres a big room,['but in the morning heres a big room'],[8],3,['VO'],[1]
everybody a big room xxx,['everybody a big room xxx'],[5],3,['V'],[0]
inside of it is like a suite,['inside of it is like a suite'],[7],3,['V'],[0]
and one of those those dv,['and one of those those dv'],[6],2,['V'],[0]
and like youknow xxx,['and like youknow xxx'],[4],2,['V'],[0]
HelenHayes is on the water in front of the in the HenryHudson river,['HelenHayes is on the water in front of the in the HenryHudson river'],[13],4,['SV'],[0]
I said,['I said'],[2],1,['SV'],[1]
then then my family came,['then then my family came'],[5],2,['SV'],[1]
and and I was there alotof alot of the times,['and and I was there alotof alot of the times'],[10],4,['SV'],[0]
I and then and then and they he kept me rolling,"['I and then and then and they he kept me rolling', 'rolling']","[11, 1]",3,"['SVO', 'V']","[1, 1]"
just xxx,['just xxx'],[2],1,['V'],[0]
pull and talking in,"['pull and talking in', 'talking in']","[4, 2]",2,"['V', 'V']","[1, 1]"
he had me do the exercise and everything,"['he had me do the exercise and everything', 'me do the exercise and everything']","[8, 6]",3,"['SVO', 'SVO']","[1, 1]"
and then s youknow said I and I gotta get better,"['I and I gotta get better', 'and then s youknow said I and I gotta get better']","[7, 12]",3,"['SV', 'SV']","[2, 2]"
last year I couldnt and this year last year I was in the hospital,['last year I couldnt and this year last year I was in the hospital'],[15],4,['SV'],[0]
oh this Adler was a,['oh this Adler was a'],[5],2,['SV'],[0]
I I mean I HelenHayes helped me alot,"['I mean', 'I I mean I HelenHayes helped me alot']","[2, 8]",2,"['SV', 'SVO']","[1, 1]"
but they say the insurance and everything,['but they say the insurance and everything'],[7],2,['SVO'],[1]
and then they say,['and then they say'],[4],1,['SV'],[1]
I said,['I said'],[2],1,['SV'],[1]
I couldnt talk,['I couldnt talk'],[4],1,['SV'],[1]
and and then it was like February and they say,"['they say', 'and and then it was like February and they say']","[2, 10]",2,"['SV', 'SV']","[1, 0]"
I said,['I said'],[2],1,['SV'],[1]
and then then then and youknow and then one thing about HelenHayes they never talk about aphasia,['and then then then and youknow and then one thing about HelenHayes they never talk about aphasia'],[17],4,['SV'],[1]
youknow,['youknow'],[1],0,['V'],[1]
a few times but I didnt know what aphasia was,['a few times but I didnt know what aphasia was'],[11],2,['VS'],[1]
and my speech teachers they said,"['and my speech teachers they said', 'they said']","[6, 2]",2,"['VS', 'SV']","[0, 1]"
so,['so'],[1],0,['V'],[0]
but but the doctors never,['but but the doctors never'],[5],1,['V'],[0]
she never,['she never'],[2],1,['V'],[0]
the doctors,['the doctors'],[2],1,['V'],[0]
I didnt know because and I would I was thinking that Im gonna get youknow well and I can drive again,"['because and I would I was thinking that Im gonna get youknow', 'I didnt know because and I would I was thinking that Im gonna get youknow']","[14, 18]",4,"['SV', 'SV']","[3, 4]"
but and youknow once I was like the ladies explained it to me,['but and youknow once I was like the ladies explained it to me'],[13],2,['SVO'],[1]
and then the and Jeannine and Karen and dksu,"['and then the and Jeannine and Karen and dksu', 'dksu']","[9, 1]",2,"['V', 'V']","[0, 1]"
when I got here theres youknow its gonna be better but its not gonna be all the time youknow,"['all the time youknow', 'when I got here theres youknow its gonna be better but its not gonna be all the time youknow', 'its gonna be better but its not gonna be']","[4, 22, 11]",4,"['V', 'SV', 'SV']","[1, 1, 0]"
so Im Im dealing with it,['so Im Im dealing with it'],[8],2,['SV'],[1]
but this I this was like a lifesaver to me because I I think all about how Im gonna,"['because I I think all about how Im gon', 'but this I this was like a lifesaver to me because I I think all about how Im gonna']","[10, 21]",4,"['SV', 'SV']","[2, 1]"
they then they they say,['they then they they say'],[5],3,['SV'],[1]
and and I said,['and and I said'],[4],1,['SV'],[1]
one of the things I have,['one of the things I have'],[6],4,['VS'],[0]
I useta read all the time,"['I useta read all the time', 'read']","[6, 1]",2,"['SV', 'V']","[1, 1]"
now I,['now I'],[2],0,['V'],[0]
I tried and tried and tried,"['tried and tried', 'I tried and tried and tried']","[3, 6]",2,"['V', 'SV']","[1, 1]"
but,['but'],[1],0,['V'],[0]
I I I cant I cant do it,['I I I cant I cant do it'],[10],3,['SVO'],[1]
so,['so'],[1],0,['V'],[0]
well this place it plpsu,['well this place it plpsu'],[5],2,['VS'],[0]
so I one of the classes I take is BookClub,['so I one of the classes I take is BookClub'],[10],6,['SV'],[0]
its I I its my favorite class the BookClub,['its I I its my favorite class the BookClub'],[9],3,['V'],[0]
ohboy if I have no Adler I I dont know what I would do,"['ohboy if I have no Adler', 'if I have no Adler']","[6, 5]",3,"['VSO', 'SVO']","[0, 1]"
because Im I Im I was an active guy,"['because Im I Im', 'because Im I Im I was an active guy']","[6, 11]",3,"['SV', 'SV']","[1, 0]"
I was an iron worker in NewYorkCity,['I was an iron worker in NewYorkCity'],[7],3,['SV'],[0]
and and then and then I have a heart attack,['and and then and then I have a heart attack'],[10],2,['SVO'],[1]
and but I I I was getting around,"['and but I I I was getting around', 'I was getting around']","[8, 4]",2,"['VS', 'SV']","[1, 1]"
and then I had a stroke and I said whoa boy,['and then I had a stroke and I said whoa boy'],[11],2,['SVO'],[2]
and then I and then I say whoa,"['then I say whoa', 'and then I and then I say whoa']","[4, 8]",2,"['SV', 'VS']","[1, 0]"
and then I I cant even read or nothing,['and then I I cant even read or nothing'],[10],2,['SV'],[1]
I said,['I said'],[2],1,['SV'],[1]
and I didnt even like television,['and I didnt even like television'],[7],1,['SVO'],[0]
oh oh I could write a book,['oh oh I could write a book'],[7],2,['SVO'],[1]
I I have alotof things happen to me,"['I I have alotof things happen to me', 'alotof things happen to me']","[8, 5]",3,"['SV', 'SV']","[1, 1]"
