text,Split_Clauses,Word_Counts,Max_Syntax_Tree_Depth,Word_Order,Verb_Phrases
alright,['alright'],[1],0,['V'],[0]
a a specific event or,['a a specific event or'],[5],1,['V'],[0]
and that was a once in a lifetime kind of experience,['and that was a once in a lifetime kind of experience'],[11],4,['SV'],[0]
I was with initially five other people,['I was with initially five other people'],[7],3,['SV'],[0]
two of them dropped out partway through the trip,['two of them dropped out partway through the trip'],[9],3,['SV'],[1]
because they they didnt consider it safe,['because they they didnt consider it safe'],[8],2,['SV'],[1]
but it was it was a fascinating trip to see,['but it was it was a fascinating trip to see'],[10],3,['SV'],[1]
and we paddled in one case past two days of forest,['and we paddled in one case past two days of forest'],[11],4,['SV'],[1]
and the smoke we hadta put cloths over our mouths to to,['and the smoke we hadta put cloths over our mouths to to'],[12],4,['SVO'],[1]
the the paddling itself was not particularly onerous,['the the paddling itself was not particularly onerous'],[8],2,['SV'],[0]
but we did paddle alot,['but we did paddle alot'],[5],2,['SVO'],[1]
we paddled nine or ten hours a day,['we paddled nine or ten hours a day'],[8],3,['SVO'],[1]
we we averaged about seventy two kilometers a day on on,['we we averaged about seventy two kilometers a day on on'],[11],3,['SV'],[1]
covered almost fourteen hundred kilometers on the whole,['covered almost fourteen hundred kilometers on the whole'],[8],3,['VO'],[1]
and it surprisingly enough although we were on a,['and it surprisingly enough although we were on a'],[9],3,['VS'],[0]
you cant see a half inch into the water,['you cant see a half inch into the water'],[10],3,['SVO'],[1]
so we hadta find side streams that were clear inorderto get,"['so we hadta find side streams that were clear inorderto get', 'get']","[11, 1]",4,"['SVO', 'V']","[1, 1]"
it was,['it was'],[2],1,['SV'],[0]
typical day I I get up fairly early in the morning about,['typical day I I get up fairly early in the morning about'],[12],3,['SV'],[1]
I either go into the office to to work there,"['I either go into the office to to work there', 'to to work there']","[10, 4]",3,"['SV', 'V']","[2, 1]"
or I work from home by dialing in on my on my computer,['or I work from home by dialing in on my on my computer'],[13],5,['SV'],[1]
I work on designing a database or solving problems around,['I work on designing a database or solving problems around'],[10],4,['SVO'],[1]
and I work right through until five or six oclock depending,"['and I work right through until five or six oclock depending', 'five or six oclock depending']","[11, 5]",4,"['SV', 'V']","[1, 1]"
I take a break for lunch,['I take a break for lunch'],[6],3,['SVO'],[1]
and thats prettymuch my workday,['and thats prettymuch my workday'],[6],2,['SV'],[1]
I come home or am at home and have supper with my,['I come home or am at home and have supper with my'],[12],5,['SVO'],[1]
sometimes just watching television sometimes going out,"['sometimes just watching television sometimes going out', 'sometimes going out']","[7, 3]",2,"['VO', 'V']","[1, 1]"
sometimes I going out to to the lodge,['sometimes I going out to to the lodge'],[8],3,['SV'],[1]
okay,['okay'],[1],0,['V'],[0]
okay the the story is a boy was playing soccer,"['a boy was playing soccer', 'okay the the story is a boy was playing soccer']","[5, 10]",3,"['SVO', 'SVO']","[1, 1]"
he kicked the soccer ball,['he kicked the soccer ball'],[5],2,['SVO'],[1]
and it went through the window of a house and broke the window,"['broke the window', 'and it went through the window of a house and broke the window']","[3, 13]",5,"['VO', 'SVO']","[1, 1]"
and the man was sitting in the chair nextto the lamp,['and the man was sitting in the chair nextto the lamp'],[11],3,['SVO'],[1]
and he picked up the soccer ball and looked out the window to,"['and he picked up the soccer ball and looked out the window to', 'looked out the window to']","[13, 5]",3,"['SVO', 'VO']","[1, 1]"
a woman was giving her child an umbrella,['a woman was giving her child an umbrella'],[8],2,['SVO'],[1]
the child was it was saying they didnt need the umbrella,"['the child was it was saying they didnt need the umbrella', 'it was saying they didnt need the umbrella']","[12, 9]",4,"['SVO', 'SVO']","[2, 2]"
and it began to rain,"['and it began to rain', 'to rain']","[5, 2]",2,"['SV', 'V']","[2, 1]"
and the child ran home and was all wet,['and the child ran home and was all wet'],[9],2,['SV'],[1]
and mother was angry at him for not for getting wet,['and mother was angry at him for not for getting wet'],[11],4,['SV'],[0]
and he went back outside after hed got dry clothes and with,"['and he went back outside after hed got dry clothes and with', 'after hed got dry clothes and with']","[13, 8]",3,"['SVO', 'SVO']","[1, 1]"
ah,['ah'],[1],0,['V'],[0]
cat went up in a tree,['cat went up in a tree'],[6],3,['SV'],[1]
and a man went up to retrieve the cat using a ladder,"['to retrieve the cat using a ladder', 'and a man went up to retrieve the cat using a ladder']","[7, 12]",5,"['VO', 'SVO']","[1, 2]"
the ladder has fallen down,['the ladder has fallen down'],[5],2,['SV'],[1]
and the so the man had trouble getting out,['and the so the man had trouble getting out'],[9],3,['SVO'],[1]
the dog was barking up the tree for no particular reason that,['the dog was barking up the tree for no particular reason that'],[12],3,['SVO'],[1]
and the firemen had been called to rescue now both the cat and the,['and the firemen had been called to rescue now both the cat and the'],[14],3,['V'],[1]
my granddaughter would never forgive me if I didnt,"['my granddaughter would never forgive me if I didnt', 'if I did']","[10, 3]",2,"['SVO', 'SV']","[1, 1]"
yeah,['yeah'],[1],0,['V'],[0]
okay,['okay'],[1],0,['V'],[0]
okay,['okay'],[1],0,['V'],[0]
Cinderella lived with her aunt,['Cinderella lived with her aunt'],[5],3,['SV'],[1]
her her her,['her her her'],[3],2,['V'],[0]
so aunt but she had three stepsisters,['so aunt but she had three stepsisters'],[7],1,['VSO'],[1]
and they always gave her the dirty jobs to do around the house,['and they always gave her the dirty jobs to do around the house'],[13],5,['SVO'],[2]
and then she met a good fairy who,['and then she met a good fairy who'],[8],2,['SVO'],[1]
oh sorry,['oh sorry'],[2],1,['V'],[0]
they and these the these the wicked the the,['they and these the these the wicked the the'],[9],2,['V'],[0]
and they got dressed up to go,"['to go', 'and they got dressed up to go']","[2, 7]",2,"['V', 'V']","[1, 2]"
and Cinderella was to stay at home and not go to the ball,"['and Cinderella was to stay at home and not go to the ball', 'to stay at home and not go to the ball']","[13, 10]",5,"['SV', 'V']","[1, 1]"
the the good fairy came and made her waved her,"['the the good fairy came and made her waved her', 'made her waved her']","[10, 4]",3,"['SVO', 'VSO']","[1, 1]"
and then she went to the ball where she captured the interest,['and then she went to the ball where she captured the interest'],[12],5,['SVO'],[1]
and but the problem was the Cinderella hadta leave,"['and but the problem was the Cinderella hadta leave', 'the Cinderella hadta leave']","[9, 4]",3,"['SV', 'SV']","[0, 1]"
because the coach that she came in which the good fairy had,"['because the coach that she came in which the good fairy had', 'in which the good fairy had', 'that she came']","[12, 6, 3]",3,"['VOS', 'SV', 'SV']","[0, 1, 1]"
and Cinderella would be back in her old in her,['and Cinderella would be back in her old in her'],[10],4,['SV'],[0]
so she ran out,['so she ran out'],[4],1,['SV'],[1]
but as she ran she lost one of the slippers the the,"['but as she ran she lost one of the slippers the the', 'as she ran']","[12, 3]",4,"['SVO', 'SV']","[1, 1]"
and then he went searching throughout his kingdom to try and,"['and then he went searching throughout his kingdom to try and', 'searching throughout his kingdom to try']","[11, 6]",4,"['SV', 'V']","[2, 2]"
and he came to the house of the where where,['and he came to the house of the where where'],[10],5,['SV'],[1]
and the stepsisters their feet were too big and would not fit,"['would not fit', 'and the stepsisters their feet were too big and would not fit']","[3, 12]",2,"['V', 'SV']","[1, 1]"
and Cinderella tried was allowed to try the shoe,"['and Cinderella tried was allowed to try the shoe', 'was allowed to try the shoe']","[9, 6]",4,"['SVO', 'VO']","[3, 2]"
and it fit,['and it fit'],[3],1,['SV'],[1]
and eref and she went off to marry the prince and live,['and eref and she went off to marry the prince and live'],[12],1,['VSO'],[2]
yeah,['yeah'],[1],0,['V'],[0]
the bus is coming,['the bus is coming'],[4],2,['SV'],[1]
the tour bus is coming,['the tour bus is coming'],[5],2,['SV'],[1]
the tour bus is coming into the town,['the tour bus is coming into the town'],[8],3,['SV'],[1]
the tour bus is coming into the town to pick up the people,"['the tour bus is coming into the town to pick up the people', 'to pick up the people']","[13, 5]",3,"['SVO', 'VO']","[2, 1]"
the tour bus is coming into the town to pick up the people from the,"['the tour bus is coming into the town to pick up the people from the', 'to pick up the people from the']","[15, 7]",3,"['SVO', 'VO']","[2, 1]"
the tour bus is coming into town to pick up the people from the,"['the tour bus is coming into town to pick up the people from the', 'to pick up the people from the']","[14, 7]",3,"['SVO', 'VO']","[2, 1]"
okay,['okay'],[1],0,['V'],[0]
the dog chased the cat up the tree,['the dog chased the cat up the tree'],[8],3,['SVO'],[1]
the bird was caught by the worm,['the bird was caught by the worm'],[7],3,['V'],[1]
would you like to star in a movie,"['to star in a movie', 'would you like to star in a movie']","[5, 8]",4,"['V', 'SV']","[1, 2]"
books like to read children,"['books like to read children', 'to read children']","[5, 3]",2,"['SVO', 'VO']","[2, 1]"
icecream tastes good in the summer,['icecream tastes good in the summer'],[6],3,['SV'],[1]
beautiful flowers smell the lovely woman,['beautiful flowers smell the lovely woman'],[6],2,['SVO'],[1]
count to ten as fast as you can,['count to ten as fast as you can'],[8],3,['VS'],[1]
the man saw the boy that the dog chased,['the man saw the boy that the dog chased'],[9],4,['SVO'],[1]
tell me the name of the person next door,['tell me the name of the person next door'],[9],4,['VO'],[1]
how many are in a dozen,['how many are in a dozen'],[6],3,['V'],[0]
the tiger was clawed by the lion,['the tiger was clawed by the lion'],[7],3,['V'],[1]
bad weather was caused by long airplane delays,['bad weather was caused by long airplane delays'],[8],3,['V'],[1]
excellent,['excellent'],[1],0,['V'],[0]
when I was three years old,['when I was three years old'],[6],3,['SV'],[0]
I have a very vivid memory of being left with my sister and having,['I have a very vivid memory of being left with my sister and having'],[14],6,['SVO'],[2]
and it was the summer of nineteen forty six,['and it was the summer of nineteen forty six'],[9],4,['SV'],[0]
and my sister and I was I were playing,"['and my sister and I was I were playing', 'I were playing']","[9, 3]",2,"['SV', 'SV']","[1, 1]"
and this young gal wanted me to go to have a nap in the,"['me to go to have a nap in the', 'and this young gal wanted me to go to have a nap in the']","[9, 14]",5,"['SVO', 'SVO']","[2, 3]"
and I was protesting,['and I was protesting'],[4],1,['SV'],[1]
and I was so upset,['and I was so upset'],[5],2,['SV'],[0]
I went into the bedroom waited a few minutes and snuck outof the,"['I went into the bedroom waited a few minutes and snuck outof the', 'waited a few minutes and snuck outof']","[13, 7]",4,"['SV', 'VO']","[1, 1]"
I did,['I did'],[2],1,['SV'],[1]
well youknow youre Winnipeg was a smaller city,"['well youknow youre Winnipeg was a smaller city', 'youknow youre']","[9, 3]",3,"['SV', 'VS']","[0, 0]"
and it was different in nineteen forty six,['and it was different in nineteen forty six'],[8],3,['SV'],[0]
and I knew the way,['and I knew the way'],[5],2,['SVO'],[1]
I being in the car the kids they pick it up fast,['I being in the car the kids they pick it up fast'],[12],3,['SVO'],[0]
so yes you asked for memory,['so yes you asked for memory'],[6],2,['SV'],[1]
there it is,['there it is'],[3],1,['SV'],[0]
okay yesterday I was at home in the morning,['okay yesterday I was at home in the morning'],[9],3,['SV'],[0]
because we were entertaining some people that were coming over,['because we were entertaining some people that were coming over'],[10],3,['SVO'],[2]
we had some some of some of my children came,"['we had some some of some of my children came', 'came']","[10, 1]",6,"['SVO', 'V']","[1, 1]"
and with a couple of my grandchildren were two or,['and with a couple of my grandchildren were two or'],[10],4,['SV'],[0]
and then we had some guests that useta live in Winnipeg,['and then we had some guests that useta live in Winnipeg'],[11],5,['SVO'],[1]
so that was for part of the day til about two oclock,['so that was for part of the day til about two oclock'],[12],5,['SV'],[0]
I then walked my grandson of two and a half years of age from,['I then walked my grandson of two and a half years of age from'],[14],6,['SVO'],[1]
I fear it was a good quite a walk for him,['I fear it was a good quite a walk for him'],[11],4,['SV'],[1]
and he did it all,['and he did it all'],[5],2,['SVO'],[1]
and then I stayed a little at my sisters and my daughters,['and then I stayed a little at my sisters and my daughters'],[12],4,['SV'],[1]
and then from there I visited my one of my sons,['and then from there I visited my one of my sons'],[11],4,['SVO'],[1]
and then we came home,['and then we came home'],[5],1,['SV'],[1]
and I basically I watched the,['and I basically I watched the'],[6],1,['SVO'],[1]
I took my wife to to zumba class at Baycrest village,['I took my wife to to zumba class at Baycrest village'],[11],4,['SVO'],[2]
and then we watched the Gray I watched the Graycomb,['and then we watched the Gray I watched the Graycomb'],[10],4,['SVO'],[1]
that was my day,['that was my day'],[4],2,['SV'],[0]
yeah,['yeah'],[1],0,['V'],[0]
in these pictures,['in these pictures'],[3],2,['V'],[0]
well the first one is this kid kicks the ball,"['this kid kicks the ball', 'well the first one is this kid kicks the ball']","[5, 10]",3,"['SVO', 'SVO']","[1, 0]"
and it looks like it breaks a window goes through the window,"['like it breaks a window goes through the window', 'and it looks like it breaks a window goes through the window']","[9, 12]",5,"['SVO', 'SV']","[1, 1]"
and then the man thats sitting there picks up the ball and is,['and then the man thats sitting there picks up the ball and is'],[14],3,['SVO'],[2]
one seems to have an umbrella,"['one seems to have an umbrella', 'to have an umbrella']","[6, 4]",3,"['SVO', 'VO']","[2, 1]"
and shes looking to give it to her daughter,"['and shes looking to give it to her daughter', 'to give it to her daughter']","[10, 6]",4,"['SVO', 'VO']","[2, 1]"
who the daughter takes it,['who the daughter takes it'],[5],2,['OSV'],[1]
unless she takes it,['unless she takes it'],[4],1,['SVO'],[1]
we cant tell that,['we cant tell that'],[5],1,['SVO'],[1]
starts to rain,"['starts to rain', 'to rain']","[3, 2]",2,"['V', 'V']","[2, 1]"
doesnt look like the daughter takes it actually,"['doesnt look like the daughter takes it actually', 'like the daughter takes it actually']","[9, 6]",3,"['VSO', 'SVO']","[1, 1]"
well so up in paragraph three its raining,['well so up in paragraph three its raining'],[8],4,['V'],[0]
kids getting wet very wet,"['getting wet very wet', 'kids getting wet very wet']","[4, 5]",3,"['V', 'V']","[1, 0]"
kid comes home looks like all wet,['kid comes home looks like all wet'],[7],2,['SVO'],[1]
mothers not happy,['mothers not happy'],[3],1,['SV'],[0]
and then the kid takes the umbrella the the umbrella,['and then the kid takes the umbrella the the umbrella'],[10],2,['SVO'],[1]
well theres a man stuck in a tree,['well theres a man stuck in a tree'],[9],5,['V'],[1]
and the dog is barking,['and the dog is barking'],[5],2,['SV'],[1]
and the girls trying to get the cat off the tree,"['to get the cat off the tree', 'and the girls trying to get the cat off the tree']","[7, 11]",4,"['VO', 'SVO']","[1, 2]"
and shes got a little tricycle there,['and shes got a little tricycle there'],[8],2,['VO'],[1]
and theres a ladder,['and theres a ladder'],[5],2,['V'],[1]
but bod now on come the fireman I guess to help him,['but bod now on come the fireman I guess to help him'],[12],2,['SVO'],[3]
what do you want me to tell you,['what do you want me to tell you'],[8],2,['OSV'],[2]
Cinderella a young girl who lived with an a,['Cinderella a young girl who lived with an a'],[9],5,['VS'],[0]
and she did all the work around the house,['and she did all the work around the house'],[9],4,['SVO'],[1]
she was treated very badly,['she was treated very badly'],[5],2,['V'],[1]
and life was pretty harsh for her,['and life was pretty harsh for her'],[7],3,['SV'],[0]
so one day an invitation comes sent by the royalty that theres,"['that theres', 'so one day an invitation comes sent by the royalty that theres']","[3, 13]",3,"['V', 'V']","[1, 1]"
and ofcourse the prince is gonna be there,"['the prince is gonna be there', 'and ofcourse the prince is gonna be there']","[7, 9]",3,"['SV', 'VS']","[1, 2]"
and and the the two sisters and the mother are very excited,['and and the the two sisters and the mother are very excited'],[12],3,['SV'],[0]
and they plan out how theyre what theyre gonna wear and,"['how theyre what theyre gonna wear', 'and they plan out how theyre what theyre gonna wear and']","[9, 14]",4,"['SVO', 'SVO']","[3, 3]"
Cinderella wants to go but they make fun of her you see,"['to go', 'they make fun of her you see', 'Cinderella wants to go but they make fun of her you see']","[2, 7, 12]",3,"['V', 'SVO', 'SVO']","[1, 1, 2]"
they say,['they say'],[2],1,['SV'],[1]
what if she cant go to this,['what if she cant go to this'],[8],2,['SV'],[1]
youre just a nothing,['youre just a nothing'],[5],2,['SV'],[1]
so they ultimately get all dressed up and go to the ball one,"['so they ultimately get all dressed up and go to the ball one', 'all dressed up and go to the ball one']","[13, 9]",5,"['SV', 'SV']","[1, 1]"
and Cinderellas left behind,['and Cinderellas left behind'],[4],1,['SV'],[1]
