text,diagnosis,lexical_density,tree_depth
yes ,patient,0.0,0
yeah head,patient,0.0,1
um when I  when I  Nine_eleven hit I was in my office ,patient,57.14285714285714,3
um I wasn't  the girls were out front w re watching the television set ,patient,37.5,5
and Sulton came running in to tell me that something happened or I don't know ges ,patient,35.294117647058826,5
she just said it happened or something ,patient,42.85714285714285,2
and I went out there find out ,patient,28.57142857142857,2
and from that point on head,patient,50.0,2
um uh I think uh FirstnameA was there ,patient,25.0,2
and FirstnameS was there ,patient,25.0,1
um who was it ,patient,75.0,1
they all came at different times ,patient,50.0,3
I_mean  she  FirstnameS was there ,patient,28.57142857142857,2
I was there ,patient,66.66666666666666,1
um FirstnameD was there ,patient,25.0,1
FirstnameDb was there ,patient,33.33333333333333,1
uh and eventually two others came in so there were all people ,patient,33.33333333333333,2
you_know  all we did was sit there because we watched where  where it  ca where each s step ,patient,52.38095238095239,4
the first one it hit ,patient,40.0,2
and it started crumbling ,patient,25.0,1
and it just  th it then just head,patient,22.22222222222222,0
and it started as it crumbled you could see the ges sighs ,patient,50.0,5
you could see the each piece crumbling and everybody running and running ,patient,41.66666666666667,3
and um just the s ges ,patient,16.666666666666664,1
and then uh a few minutes later the  second one came down ,patient,23.07692307692308,4
and like I said all we did was watch it kʌmbəlu ,patient,45.45454545454545,4
we watched um four  four  f um we watched all four buildings collapse ,patient,20.0,4
um head,patient,0.0,1
we just couldn't  we couldn't gra gra grasp it at all ,patient,35.714285714285715,0
it was horrible ,patient,66.66666666666666,1
a girl  a little girl has her cat stuck up a tree ,patient,38.46153846153847,3
she's left  climbed down from her balcony ,patient,44.44444444444444,6
and um the  the next part of the picture was her father climbing  also trying to climb up the tree to get um the cat ,patient,33.33333333333333,5
and he  he can't get it ,patient,50.0,2
so  um the dog is just claiming ,patient,37.5,2
and in the meantime the  k uh t the ,patient,40.0,3
I can't believe it ,patient,60.0,1
the firemen go run running over to it the fire  with the ladders to try and get the  um try and get  to try and  to try and lift up the ladder to get the cats down or  to  to get the  yeah the cat down ,patient,28.30188679245283,11
and to save the  uh the father ,patient,25.0,3
that's about as much as I can do ,patient,55.55555555555556,3
alright head,patient,0.0,1
uh uh just this part here ,patient,16.666666666666664,1
um originally the  um m the woman had two children ,patient,18.181818181818183,2
and the gentleman had one daughter and had a cat ,patient,20.0,3
and they married and starting out sh looking  s when they started with  they got  when they got re ,patient,45.45454545454545,4
when they started they married and it pre pretended to be a happy nice family ,patient,46.66666666666666,3
in the end her father died ,patient,50.0,3
the mother became a w witch making the children clean  her daughter clean  um pick up after the  gir her  chil the other girl  pick up after the um w w woman's children ,patient,30.76923076923077,7
and she just be was treated as um a  s I'd as a  s say a slave ,patient,50.0,4
um in the meantime the woman  the mother received a letter um asking  telling everybody they were invited to the  uh a ball ,patient,42.30769230769231,7
so  Cinderella went and made her own dress for her ,patient,36.36363636363637,4
and the girls had their  she made the dresses for the girls ,patient,46.15384615384615,5
and then she made her own dress ,patient,28.57142857142857,2
when she went to um appear with  in the dress with  for the ball um the mother  they tore the dress ,patient,45.83333333333333,6
the  and the mother said ,patient,33.33333333333333,2
 no ,patient,0.0,0
and they basically threw her out ,patient,50.0,1
um the girl  the godmother appeared ,patient,28.57142857142857,2
and she gave  she used magic and created a um gold gown and um turned the uh animals into  ges um int t turned the animals into s s,patient,22.58064516129032,6
um and they went to the ball ,patient,42.85714285714285,3
at the ball she met the priest ,patient,57.14285714285714,3
um she danced ,patient,33.33333333333333,1
and then at the  s at midnight she hadta leave the ball ,patient,38.46153846153847,4
um the  the  ba the  the  then she got  went home got  and be  just ,patient,27.27272727272727,4
she went home and was turned into the old s Cinda Cinderella ,patient,33.33333333333333,5
she's back in uh rags ,patient,50.0,3
um the  per the  they  ter they se sent out to everybody an invitation to have them check to see if any one of them could be the pri prince or  anyone could be Cinderella ,patient,53.84615384615385,0
um they went to each one of the houses ,patient,55.55555555555556,5
when they got to Cinderella's house they tried on the  ja the shoes ,patient,46.66666666666666,5
uh eith neither one of them fit the shoes ,patient,33.33333333333333,3
um they asked sil Cinderella to try them out ,patient,33.33333333333333,2
when she did they fit her perfectly ,patient,57.14285714285714,2
and if  then the um prince uh married her ,patient,30.0,2
they lived happily ever after ges shrugs ,patient,28.57142857142857,3
