text,intra_sentence_similarity
well I could I could talk youknow,0.405498206615448
remember,0.9999999403953552
when it was like the end of August,0.2653442323207855
it was infact it was Labor Day,0.30849218368530273
but I youknow I I when I was sick I didnt I I I was in intensive care when I go off with the,0.3000842332839966
like a,0.582978367805481
only four weeks on,0.39581722021102905
but I I I I,0.8132125735282898
well and and and my family called and xxx and xxx,0.3606891930103302
and then,0.7074459791183472
they have a,0.5182292461395264
they shipped me out in an ambulance ten oclock at night,0.20453429222106934
and I and I and I couldnt w I I was in a wheelchair youknow,0.23288878798484802
and a stretcher,0.5012156367301941
and I couldnt talk,0.3037564158439636
and then and then and then theres,0.5112887620925903
my own daughter and my wife and my sister was there,0.30938130617141724
and they didnt leave,0.337919145822525
and then I I fell asleep I think,0.36498966813087463
and then hallofasudden,0.7074459791183472
I was I was outof the Ranger game,0.23928935825824738
I have a,0.44035208225250244
and then and then I was in an ambulance,0.33361345529556274
and I I I couldnt talk but Id say,0.351301908493042
where are you taking because it a it a long ride,0.34231093525886536
youknow I was in there,0.2870457172393799
and I went to the hospital in n but I I didnt know where I was going,0.24400682747364044
and he said,0.37295207381248474
and I said,0.32917967438697815
and then I I say,0.4028721749782562
I dont even known what I was going,0.30914705991744995
it was and then I couldnt talk,0.29186317324638367
and I was det little sad,0.25589320063591003
and I would,0.4409525692462921
and the guy said,0.2968137264251709
he said I said,0.45560306310653687
and hes,0.3284872770309448
it was like forty five minutes,0.30421409010887146
and I said,0.32917967438697815
but I couldnt talk youknow,0.3699791133403778
it was t,0.37671780586242676
and they took me in and they a,0.32146382331848145
I said,0.5259465575218201
it was a scary thing youknow,0.3399021029472351
but in the morning heres a big room,0.285004198551178
everybody a big room xxx,0.3500994145870209
inside of it is like a suite,0.3099921941757202
and one of those those dv,0.3902520537376404
and like youknow xxx,0.30043739080429077
HelenHayes is on the water in front of the in the HenryHudson river,0.38305261731147766
I said,0.5259465575218201
then then my family came,0.4351551830768585
and and I was there alotof alot of the times,0.2715303301811218
I and then and then and they he kept me rolling,0.3716844916343689
just xxx,0.5735385417938232
pull and talking in,0.3509763479232788
he had me do the exercise and everything,0.30244624614715576
and then s youknow said I and I gotta get better,0.23270757496356964
last year I couldnt and this year last year I was in the hospital,0.24102094769477844
oh this Adler was a,0.2542378902435303
I I mean I HelenHayes helped me alot,0.42650696635246277
but they say the insurance and everything,0.4187811315059662
and then they say,0.44708263874053955
